service_name,service_prefix
Amazon GuardDuty,guardduty
AWS Health APIs and Notifications,health
AWS HealthImaging,medical-imaging
AWS HealthLake,healthlake
AWS HealthOmics,omics
High-volume outbound communications,connect-campaigns
Amazon Honeycode,honeycode
AWS IAM Access Analyzer,access-analyzer
AWS IAM Identity Center (successor to AWS Single Sign-On),sso
AWS IAM Identity Center (successor to AWS Single Sign-On) directory,sso-directory
AWS IAM Identity Center OIDC service,sso-oauth
AWS Identity and Access Management (IAM),iam
AWS Identity and Access Management Roles Anywhere,rolesanywhere
AWS Identity Store,identitystore
AWS Identity Store Auth,identitystore-auth
AWS Identity Sync,identity-sync
AWS Import Export Disk Service,importexport
Amazon Inspector,inspector
Amazon Inspector2,inspector2
Amazon InspectorScan,inspector-scan
Amazon Interactive Video Service,ivs
Amazon Interactive Video Service Chat,ivschat
AWS Invoicing Service,invoicing
AWS IoT,iot
AWS IoT 1-Click,iot1click
AWS IoT Analytics,iotanalytics
AWS IoT Core Device Advisor,iotdeviceadvisor
AWS IoT Device Tester,iot-device-tester
AWS IoT Events,iotevents
AWS IoT Fleet Hub for Device Management,iotfleethub
AWS IoT FleetWise,iotfleetwise
AWS IoT Greengrass,greengrass
AWS IoT Greengrass V2,greengrass
AWS IoT Jobs DataPlane,iotjobsdata
AWS IoT RoboRunner,iotroborunner
AWS IoT SiteWise,iotsitewise
AWS IoT TwinMaker,iottwinmaker
AWS IoT Wireless,iotwireless
AWS IQ,iq
AWS IQ Permissions,iq-permission
Amazon Kendra,kendra
Amazon Kendra Intelligent Ranking,kendra-ranking
AWS Key Management Service,kms
Amazon Keyspaces (for Apache Cassandra),cassandra
Amazon Kinesis Analytics,kinesisanalytics
Amazon Kinesis Analytics V2,kinesisanalytics
Amazon Kinesis Data Streams,kinesis
Amazon Kinesis Firehose,firehose
Amazon Kinesis Video Streams,kinesisvideo
AWS Lake Formation,lakeformation
AWS Lambda,lambda
AWS Launch Wizard,launchwizard
Amazon Lex,lex
Amazon Lex V2,lex
AWS License Manager,license-manager
AWS License Manager Linux Subscriptions Manager,license-manager-linux-subscriptions
AWS License Manager User Subscriptions,license-manager-user-subscriptions
Amazon Lightsail,lightsail
Amazon Location,geo
Amazon Lookout for Equipment,lookoutequipment
Amazon Lookout for Metrics,lookoutmetrics
Amazon Lookout for Vision,lookoutvision
Amazon Machine Learning,machinelearning
Amazon Macie,macie2
AWS Mainframe Modernization Application Testing provides tools and resources for automated functional equivalence testing for your migration projects.,apptest
AWS Mainframe Modernization Service,m2
Amazon Managed Blockchain,managedblockchain
Amazon Managed Blockchain Query,managedblockchain-query
Amazon Managed Grafana,grafana
Amazon Managed Service for Prometheus,aps
Amazon Managed Streaming for Apache Kafka,kafka
Amazon Managed Streaming for Kafka Connect,kafkaconnect
Amazon Managed Workflows for Apache Airflow,airflow
AWS Marketplace,aws-marketplace
AWS Marketplace Catalog,aws-marketplace
AWS Marketplace Commerce Analytics Service,marketplacecommerceanalytics
AWS Marketplace Deployment Service,aws-marketplace
AWS Marketplace Discovery,aws-marketplace
AWS Marketplace Entitlement Service,aws-marketplace
AWS Marketplace Image Building Service,aws-marketplace
AWS Marketplace Management Portal,aws-marketplace-management
AWS Marketplace Metering Service,aws-marketplace
AWS Marketplace Private Marketplace,aws-marketplace
AWS Marketplace Procurement Systems Integration,aws-marketplace
AWS Marketplace Seller Reporting,aws-marketplace
AWS Marketplace Vendor Insights,vendor-insights
Amazon Mechanical Turk,mechanicalturk
Amazon MemoryDB,memorydb
Amazon Message Delivery Service,ec2messages
Amazon Message Gateway Service,ssmmessages
AWS Microservice Extractor for .NET,serviceextract
AWS Migration Acceleration Program Credits,mapcredits
AWS Migration Hub,mgh
AWS Migration Hub Orchestrator,migrationhub-orchestrator
AWS Migration Hub Refactor Spaces,refactor-spaces
AWS Migration Hub Strategy Recommendations,migrationhub-strategy
Amazon Mobile Analytics,mobileanalytics
Amazon Monitron,monitron
Amazon MQ,mq
Amazon Neptune,neptune-db
Amazon Neptune Analytics,neptune-graph
AWS Network Firewall,network-firewall
AWS Network Manager,networkmanager
AWS Network Manager Chat,networkmanager-chat
Amazon Nimble Studio,nimble
Amazon One Enterprise,one
Amazon OpenSearch Ingestion,osis
Amazon OpenSearch Serverless,aoss
Amazon OpenSearch Service,es
AWS OpsWorks,opsworks
AWS OpsWorks Configuration Management,opsworks-cm
AWS Organizations,organizations
AWS Outposts,outposts
AWS Panorama,panorama
